description,headquarters,homepage,id,logo_path,name,origin_country,parent_company
"","Los Angeles, California, US","http,//www.newline.com/",12,"/5qB9guEK0IO415MfApdlV9pQKRU.png","New Line Cinema","US",null
"","","",13,null,Universal Studios,null,null
"","Los Angeles, California","https,//www.miramax.com",14,"/sNhxHhbyJ0xo52nr9xI2cJKkWFO.png","Miramax","US",null
"","","",15,null,"Lama Films",null,null
"","","http,//www.unitedking.co.il",16,"/gf4S6UfByfEaSpDPLl663ivyDRC.png","United King Films","IL",null
"","","",17,"/s1y7CTv6YHe87YUGOq6SRB6DmO7.png","Warner Bros. Entertainment","US",{"name","Time Warner",128,null}
"","Los Angeles, California, United States","http,//www.graciefilms.com/",18,"/uqhagSwM7NAkQWVCQhKTyoqF8XH.png","Gracie Films","US",null
"","","",19,null,"Film Roman",null,null
"","","",20,null,"Rough Draft Studios",null,null
"","Beverly Hills, California, United States","http,//www.mgm.com/",21,"/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png","Metro-Goldwyn-Mayer","US",{"name","Sony Pictures",34,"/GagSvqWlyPdkFHMfQ3pNq6ix9P.png"}
"","Beverly Hills, California","http,//imagine-entertainment.com",23,"/4PR5ZyqlDrMqx1h5PyOL4VRL70z.png","Imagine Entertainment","US",null
"","","",24,null,"Mikona Productions GmbH & Co. KG",null,null
"","Century City, California, USA","http,//www.foxmovies.com/",25,"/nM2MfoMqzJQRiSynsDabOtFKetD.png","20th Century Fox","US",null
"","","",27,null,DreamWorks SKG,null,null
"","Los Angeles, California","",28,null,"Newmarket Films","US",null
"","","",29,null,"Topcraft",null,null
"","","",30,null,"Eddie Murphy Productions",null,null
"","","",32,null,"Buena Vista Pictures",null,null
"","Universal City, California, USA","http,//www.universalpictures.com/",33,"/mGbYwpo7isFx7RyRm26qvuSFTbw.png","Universal Pictures","US",null
"","Culver City, California, United States","http,//www.sonypictures.com/",34,"/GagSvqWlyPdkFHMfQ3pNq6ix9P.png","Sony Pictures","US",null
"","","",35,"/wxrHa3nZ1K4zo65p56991INkGo6.png","Lions Gate Films","US",null
"","","",36,null,Buena Vista Pictures,null,null
"","Universal City, California, United States","",37,"/24D25UH5SyteudhPXW6Oy0Qfj1q.png","Gramercy Pictures","US",null
"","","",38,null,"Zespół Filmowy TOR",null,null
"","","",39,null,"Docurama",null,null
"","","",41,"/AuAIlCWBrbhbUFFrJ6M9E3ihBoj.png","Orion Pictures","US",null
"","","",42,null,"Universal Pictures Corporation",null,null
"","Los Angeles, California, USA","http,//www.foxsearchlight.com/",43,"/4RgIPr55kBakgupWkzdDxqXJEqr.png","Fox Searchlight Pictures","US",null
"","","",44,null,"Cruise/Wagner Productions",null,null
"","","",45,null,"Road Movies Filmproduktion GmbH",null,null
"","Cologne, Germany","https,//www1.wdr.de/index.html",46,"/3xFdKHLXPGHEbrAkmsepGE8974Y.png","Westdeutscher Rundfunk","DE",null
"","Munich, Bavaria","https,//www.constantin-film.de/",47,"/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png","Constantin Film","DE",null
"","Madrid","https,//www.eldeseo.es/en/",49,null,"El Deseo","ES",null
"","","",50,null,"Deutsche Vereinsfilm AG",null,null
"","","",51,null,"Fox Europa Produktion",null,null
"","","",52,null,"Film Polski Film Agency",null,null
"","","",53,null,"Les Films du Carrosse","FR",null
"","","",54,null,"The Independent Film Channel Productions",null,null
"","","",55,null,"Decla Film Gesellschaft Holz & Co.",null,null
"","Universal City, California","https,//amblin.com",56,"/mpGWkDeikYLeAR8LVNaixig0vwE.png","Amblin Entertainment","US",null
"","New York City, New York","http,//www.sonyclassics.com/",58,"/voYCwlBHJQANtjvm5MNIkCF1dDH.png","Sony Pictures Classics","US",null
"","Los Angeles, California","",59,"/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png","A Band Apart","US",null
"","Beverly Hills, California, United States","",60,"/2eqFolQI0NLL7ExZts5MnLLaPwX.png","United Artists","US",{"name","Metro-Goldwyn-Mayer",21,"/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png"}
"","","",61,null,RKO Radio Pictures, Inc.,null,null
"","","",62,null,"The Selznik Studio",null,null
"","","",64,null,"Les Productions Artistes Associés",null,null
"","","",65,null,"Ulysse Production",null,null
"","","",66,null,"Town",null,null
"","","",67,null,"Unitec Films",null,null
"","","",68,null,"Big Primate Pictures",null,null
"","","",69,null,"MFPV Film",null,null
"","San Francisco, California, United States","https,//www.zoetrope.com/",70,"/ueaENQkPcy8rlr5fGZVBXKOhlBh.png","American Zoetrope","US",null
"","","",72,null,"Valoria Films",null,null
"","","",73,null,"Fida Cinematografica",null,null
"","","",74,null,"MOOVIE - the art of entertainment GmbH",null,null
"","","",75,null,"Medienfonds German Film Productions GmbH & Co. KG",null,null
"","","https,//zentropa.dk/en/",76,null,"Zentropa Entertainments","DK",null
"","","",77,null,"Milestone Productions",null,null
"","","",78,null,"Hotshot Films",null,null
"","Los Angeles, California, United States","http,//vreg.com/village-roadshow-pictures/",79,"/tpFpsqbleCzEE2p5EgvUq6ozfCA.png","Village Roadshow Pictures","US",null
"","Beverly Hills, California","http,//www.zanuckco.com/",80,null,"The Zanuck Company","US",null
"","Beverly Hills, California","",81,"/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png","Plan B Entertainment","US",null
"","","",82,null,"Renn Productions",null,null
"","Paris, France","http,//www.france2cinema.fr",83,"/9OQ0rm55xtlgX7KcAKMUePJSrQc.png","France 2 Cinéma","FR",null
"","","",84,null,"Tree Line Films",null,null
"","","",85,null,"Konrad Pictures",null,null
"","","",86,null,"Catfish Productions",null,null
"","","",88,null,"Hawk Films",null,null
"","","",89,null,"Augustus Film",null,null
"","","",91,null,"Lama Productions",null,null
"","","",93,null,"Lumer Films",null,null
"","Paris, France","",94,"/huC7HqorvUThGIrENrbcHmQVUA0.png","ARTE France Cinéma","FR",null
"","","",95,null,"Hazazah Film",null,null
"","","",97,"/7znWcbDd4PcJzJUlJxYqAlPPykp.png","Castle Rock Entertainment","US",{"name","Warner Bros. Entertainment",17,"/s1y7CTv6YHe87YUGOq6SRB6DmO7.png"}
"","","",98,null,"Detour Film Production",null,null
"","","",99,null,"Olga-Film GmbH (München)",null,null
"","","",100,null,"Avon Production",null,null
"","","http,//www.roxyfilm.de/",101,null,"Roxy Film",null,null
"","","",103,null,TVE,null,null
"","Paris, France","https,//www.canalplus.fr",104,"/9aotxauvc9685tq9pTcRJszuT06.png","Canal+","FR",null
"","Paris, France","",105,"/pyiNvPJYGz4W2SImgULoG2sn4y4.png","CiBy 2000","FR",null
"","","",107,null,"Mr. Brown Entertainment Filmproduction GmbH (Potsdam)",null,null
"","","",109,null,"Rome Paris Films",null,null
"","","",110,null,"Impéria",null,null
"","","",112,null,AB Svensk Filmindustri,null,null
"","Stockholm, Sweden","",113,null,"Svenska Ord","SE",null
"","Solna, Sweden","",115,null,"FilmTeknik","SE",null
"","","",116,null,"Cameo Film- und Fernsehproduktion",null,null
"","","https,//www.khm.de/home/",117,"/twj6GjwWKt23x21fkxItt7v7lEQ.png","Kunsthochschule für Medien Köln","DE",null
"","","https,//www.dfi.dk/en",118,"/AiBorgNTCS1lT1FdFPYheax9jfF.png","Det Danske Filminstitut","DK",null
"","","",119,"/1di2gITGUZr730AMuMKiCrP90Vl.png","Danmarks Radio (DR)","DK",null
"","","",120,null,"Scorsese Productions",null,null
"","","",121,null,"Y3 Film",null,null
"","Wien, Austria","http,//www.coop99.at/web-coop99/?lang=en",122,null,"Coop 99 Filmproduktion","AT",null
"","","",123,null,"Trust Film",null,null
"","","https,//www.swr.de/",124,"/7MjDMOybX0D3fcIEpCyY9es5XZU.png","Südwestrundfunk","DE",null
"","","",125,null,Danish Film Institute,null,null
"","Beverly Hills, California","http,//lakeshoreentertainment.com",126,"/kADPanRDkKTxncPXXVahvHPUvCj.png","Lakeshore Entertainment","US",null
"","","",127,null,"Screen Gems, Inc.",null,{"name","Sony Pictures",34,"/GagSvqWlyPdkFHMfQ3pNq6ix9P.png"}
"","","",128,null,"Time Warner",null,null
"","","",129,null,"Section Eight","US",null
"","Detroit, Michigan","",130,"/c9dVHPOL3cqCr2593Ahk0nEKTEM.png","Jerry Bruckheimer Films","US",null
"","","",131,null,"Bender-Spink Inc.",null,null
"","","",134,null,"Rogue Pictures",null,null
"","","",135,null,"UIP",null,null
"","Los Angeles, California","http,//citylight.com",136,"/fkWq46O9I1OY3ts1yVrbHuzRANB.png","City Light Films","US",null
"","","",137,null,"Great American Films Limited Partnership",null,null
"","","http,//www.schrammfilm.de",138,null,"Schramm Film Koerner & Weber","DE",null
"","","",139,null,"LJ Film",null,null
"","Cologne, Germany","http,//www.pandorafilm.com",140,"/ooz5b0ov3PLfBoOJyMmdoffVuHs.png","Pandora Film","DE",null
"","","",141,null,"Véra Films","FR",null
"","","",142,null,"Silver Films",null,null
"","","",144,null,"Fono Roma",null,null
"","","",145,null,"Gaumont Columbia Tristar Films",null,null
"","","",146,null,"Handmade Films Ltd.",null,null
"","","",147,null,"Fidélité Productions",null,null
"","","",148,null,"Gimages",null,null
"","Paris, France","",149,null,"FOZ","FR",null
"","","",150,null,"Headforce Ltd.",null,null
"","","",151,null,"Marquis Film",null,null
"","Santa Monica, California","",152,null,"Icon Productions","US",null
"","","",153,null,"Minerva Film SpA",null,null
"","Frederiksberg, Denmark","http,//nimbusfilm.dk/",155,"/cDY49SOQwJixJSMun9Haerx8dAQ.png","Nimbus Film","DK",null
"","Stockholm, Sweden","",156,null,"Søren Stærmose","SE",null
"","","",157,null,"SVT Drama",null,null
"","Los Angeles, California, United States","http,//www.spyglassentertainment.com/",158,"/jSj8E9Q5D0Y59IVfYFeBnfYl1uB.png","Spyglass Entertainment","US",null
"","","",159,null,"Shady Acres Entertainment",null,null
"","","",160,null,"Pit Bull Productions",null,null
"","","",161,null,"Claussen+Wöbke Filmproduktion","DE",null
"","Munich, Germany","https,//www.br.de/index.html",162,"/pIK5tsFVxjoXTJGcd0nYhiL1kn1.png","Bayerischer Rundfunk","DE",null
"","London","http,//www.revolution-films.com",163,null,"Revolution Films","GB",null
"","Toronto, Ontario","http,//rhombusmedia.com",164,"/v3zcUepvKC7Vz36yjklk1rw6k8Q.png","Rhombus Media","CA",null
"","","",165,null,"Steen Herdel Filmproduktion",null,null
"","","",166,null,"Peter Rommel Productions",null,null
"","","",167,null,"Deblokada",null,null
